build_up_id,match_id,match_name,match_date,team,opponent,scorer,minute,second,period,possession,passes_before_goal,attack_duration_seconds,build_up_type,shot_xg,tournament_stage,tournament_progress_score,finishing_efficiency,goal_event_id,match_stage,play_pattern,start_x,start_y,goal_x,goal_y,shot_x,shot_y
3869685_8,3869685,Argentina vs France,2022-12-18,Argentina,France,Lionel Andrés Messi Cuccittini,121,2,5,249,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869685_8,Final,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869685_9,3869685,Argentina vs France,2022-12-18,Argentina,France,Paulo Bruno Exequiel Dybala,122,27,5,251,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869685_9,Final,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869685_10,3869685,Argentina vs France,2022-12-18,Argentina,France,Leandro Daniel Paredes,124,16,5,253,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869685_10,Final,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869685_11,3869685,Argentina vs France,2022-12-18,France,Argentina,Randal Kolo Muani,125,9,5,254,0,0,Quick attack,0.7835,Final,6,0.1698113207547169,3869685_11,Final,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869685_12,3869685,Argentina vs France,2022-12-18,Argentina,France,Gonzalo Ariel Montiel,125,57,5,255,0,0,Quick attack,0.7835,Winner,7,0.209090909090909,3869685_12,Final,Other,108.1,40.1,108.1,40.1,108.1,40.1
3857260_1,3857260,Saudi Arabia vs Mexico,2022-11-30,Mexico,Saudi Arabia,Henry Josué Martín Mex,46,52,2,112,2,2,Quick attack,0.28809994,Group Stage,1,0.048780487804878,3857260_1,Group Stage,From Corner,120.0,0.1,116.7,40.2,116.7,40.2
3857260_2,3857260,Saudi Arabia vs Mexico,2022-11-30,Mexico,Saudi Arabia,Luis Gerardo Chávez Magallón,51,56,2,120,0,0,Quick attack,0.024289701,Group Stage,1,0.048780487804878,3857260_2,Group Stage,From Free Kick,86.7,41.3,86.7,41.3,86.7,41.3
3857260_3,3857260,Saudi Arabia vs Mexico,2022-11-30,Saudi Arabia,Mexico,Salem Mohammed Al Dawsari,94,40,2,199,6,13,Medium build-up,0.51574713,Group Stage,1,0.1,3857260_3,Group Stage,Regular Play,64.4,46.5,110.9,45.2,110.9,45.2
3857264_1,3857264,Poland vs Argentina,2022-11-30,Argentina,Poland,Alexis Mac Allister,45,53,2,81,17,53,Long build-up,0.107545994,Winner,7,0.209090909090909,3857264_1,Group Stage,From Kick Off,60.0,40.0,106.0,46.7,106.0,46.7
3857264_2,3857264,Poland vs Argentina,2022-11-30,Argentina,Poland,Julián Álvarez,66,57,2,107,27,67,Long build-up,0.10054177,Winner,7,0.209090909090909,3857264_2,Group Stage,From Free Kick,70.9,4.6,106.0,33.5,106.0,33.5
3857266_1,3857266,France vs Denmark,2022-11-26,France,Denmark,Kylian Mbappé Lottin,60,25,2,106,5,16,Medium build-up,0.08505598,Final,6,0.1698113207547169,3857266_1,Group Stage,Regular Play,19.6,73.1,110.8,31.3,110.8,31.3
3857266_2,3857266,France vs Denmark,2022-11-26,Denmark,France,Andreas Christensen,67,15,2,119,1,2,Quick attack,0.25384808,Group Stage,1,0.0285714285714285,3857266_2,Group Stage,From Corner,120.0,80.0,113.0,37.6,113.0,37.6
3857266_3,3857266,France vs Denmark,2022-11-26,France,Denmark,Kylian Mbappé Lottin,85,9,2,144,9,35,Long build-up,0.38353118,Final,6,0.1698113207547169,3857266_3,Group Stage,From Goal Kick,7.0,44.1,117.8,36.5,117.8,36.5
3857289_1,3857289,Argentina vs Mexico,2022-11-26,Argentina,Mexico,Lionel Andrés Messi Cuccittini,63,32,2,105,7,24,Long build-up,0.033919714,Winner,7,0.209090909090909,3857289_1,Group Stage,From Goal Kick,7.0,36.1,94.9,37.4,94.9,37.4
3857289_2,3857289,Argentina vs Mexico,2022-11-26,Argentina,Mexico,Enzo Fernandez,86,39,2,144,2,5,Quick attack,0.035064373,Winner,7,0.209090909090909,3857289_2,Group Stage,From Corner,120.0,0.1,106.5,22.8,106.5,22.8
3857269_1,3857269,Brazil vs Switzerland,2022-11-28,Brazil,Switzerland,Carlos Henrique Casimiro,82,15,2,146,9,29,Long build-up,0.068805926,Quarter Final,3,0.101010101010101,3857269_1,Group Stage,Regular Play,26.3,8.5,106.3,29.4,106.3,29.4
3857294_1,3857294,Netherlands vs Qatar,2022-11-29,Netherlands,Qatar,Cody Mathès Gakpo,25,55,1,60,6,15,Medium build-up,0.14035599,Quarter Final,3,0.2708333333333333,3857294_1,Group Stage,From Goal Kick,6.0,36.0,103.3,39.8,103.3,39.8
3857294_2,3857294,Netherlands vs Qatar,2022-11-29,Netherlands,Qatar,Frenkie de Jong,48,55,2,148,14,59,Long build-up,0.6883914,Quarter Final,3,0.2708333333333333,3857294_2,Group Stage,From Goal Kick,7.0,44.1,117.6,40.3,117.6,40.3
3869254_1,3869254,Portugal vs Switzerland,2022-12-06,Portugal,Switzerland,Gonçalo Matias Ramos,16,43,1,33,2,5,Quick attack,0.10102074,Quarter Final,3,0.1818181818181818,3869254_1,Round of 16,From Throw In,100.4,0.1,111.3,27.5,111.3,27.5
3869254_2,3869254,Portugal vs Switzerland,2022-12-06,Portugal,Switzerland,Kléper Laveran Lima Ferreira,32,35,1,58,1,2,Quick attack,0.12779379,Quarter Final,3,0.1818181818181818,3869254_2,Round of 16,From Corner,120.0,80.0,114.3,40.0,114.3,40.0
3869254_3,3869254,Portugal vs Switzerland,2022-12-06,Portugal,Switzerland,Gonçalo Matias Ramos,50,5,2,91,3,23,Medium build-up,0.5086819,Quarter Final,3,0.1818181818181818,3869254_3,Round of 16,Regular Play,47.4,43.3,115.8,44.4,115.8,44.4
3869254_4,3869254,Portugal vs Switzerland,2022-12-06,Portugal,Switzerland,Raphaël Adelino José Guerreiro,54,55,2,96,7,16,Long build-up,0.35848966,Quarter Final,3,0.1818181818181818,3869254_4,Round of 16,From Free Kick,25.8,14.4,110.9,32.4,110.9,32.4
3869254_5,3869254,Portugal vs Switzerland,2022-12-06,Switzerland,Portugal,Manuel Obafemi Akanji,57,5,2,98,0,2,Quick attack,0.6688656,Round of 16,2,0.1351351351351351,3869254_5,Round of 16,From Corner,120.0,80.0,118.7,35.4,118.7,35.4
3869254_6,3869254,Portugal vs Switzerland,2022-12-06,Portugal,Switzerland,Gonçalo Matias Ramos,66,12,2,115,3,15,Medium build-up,0.46699882,Quarter Final,3,0.1818181818181818,3869254_6,Round of 16,From Goal Kick,6.0,36.0,112.6,45.8,112.6,45.8
3869254_7,3869254,Portugal vs Switzerland,2022-12-06,Portugal,Switzerland,Rafael Alexandre Conceição Leão,91,12,2,157,18,52,Long build-up,0.010257767,Quarter Final,3,0.1818181818181818,3869254_7,Round of 16,From Free Kick,7.3,33.0,105.0,21.7,105.0,21.7
3869118_1,3869118,England vs Senegal,2022-12-04,England,Senegal,Jordan Brian Henderson,38,0,1,60,7,15,Long build-up,0.13174866,Quarter Final,3,0.2063492063492063,3869118_1,Round of 16,From Goal Kick,6.0,36.0,107.6,38.0,107.6,38.0
3869118_2,3869118,England vs Senegal,2022-12-04,England,Senegal,Harry Kane,47,17,1,73,2,5,Quick attack,0.20664306,Quarter Final,3,0.2063492063492063,3869118_2,Round of 16,Regular Play,63.5,44.1,104.3,50.7,104.3,50.7
3869118_3,3869118,England vs Senegal,2022-12-04,England,Senegal,Bukayo Saka,56,43,2,96,4,11,Medium build-up,0.21738943,Quarter Final,3,0.2063492063492063,3869118_3,Round of 16,Regular Play,43.9,28.2,111.0,35.9,111.0,35.9
3869684_1,3869684,Croatia vs Morocco,2022-12-17,Croatia,Morocco,Joško Gvardiol,6,28,1,11,2,2,Quick attack,0.1243582,Semi Final,4,0.1724137931034483,3869684_1,3rd Place Final,From Free Kick,84.6,21.0,108.8,38.0,108.8,38.0
3869684_2,3869684,Croatia vs Morocco,2022-12-17,Morocco,Croatia,Achraf Dari,8,17,1,13,0,3,Quick attack,0.4178385,Semi Final,4,0.1363636363636363,3869684_2,3rd Place Final,From Free Kick,87.7,74.4,115.6,39.0,115.6,39.0
3869684_3,3869684,Croatia vs Morocco,2022-12-17,Croatia,Morocco,Mislav Oršić,41,43,1,71,16,46,Long build-up,0.013095795,Semi Final,4,0.1724137931034483,3869684_3,3rd Place Final,Regular Play,10.8,51.9,106.5,21.3,106.5,21.3
