build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3869519_1,3869519,2022-12-13,Argentina vs Croatia,Argentina,Lionel Andrés Messi Cuccittini,33,27,1,54,Other,0,0,108.0,40.0,108.0,40.0
3869519_2,3869519,2022-12-13,Argentina vs Croatia,Argentina,Julián Álvarez,38,26,1,61,From Counter,1,11,21.2,47.8,112.7,37.4
3869519_3,3869519,2022-12-13,Argentina vs Croatia,Argentina,Julián Álvarez,68,46,2,127,From Throw In,3,14,42.5,80.0,113.3,45.4
3869354_1,3869354,2022-12-10,England vs France,France,Aurélien Djani Tchouaméni,16,22,1,44,Regular Play,6,20,41.4,14.3,92.5,43.5
3869354_2,3869354,2022-12-10,England vs France,England,Harry Kane,53,27,2,100,Other,0,0,108.1,40.1,108.1,40.1
3869354_3,3869354,2022-12-10,England vs France,France,Olivier Giroud,77,10,2,151,From Corner,3,8,88.0,40.3,114.7,36.4
3869552_1,3869552,2022-12-14,France vs Morocco,France,Theo Bernard François Hernández,4,40,1,6,From Throw In,16,60,61.1,0.1,115.7,31.5
3869552_2,3869552,2022-12-14,France vs Morocco,France,Randal Kolo Muani,78,49,2,126,From Goal Kick,6,24,45.2,27.5,115.6,43.8
3869420_1,3869420,2022-12-09,Croatia vs Brazil,Brazil,Neymar da Silva Santos Junior,105,35,3,229,From Throw In,7,17,92.0,80.0,116.5,47.2
3869420_2,3869420,2022-12-09,Croatia vs Brazil,Croatia,Bruno Petković,116,2,4,246,Regular Play,5,30,55.3,11.6,103.2,38.6
3869420_3,3869420,2022-12-09,Croatia vs Brazil,Croatia,Nikola Vlašić,120,3,5,258,Other,0,0,108.0,40.0,108.0,40.0
3869420_4,3869420,2022-12-09,Croatia vs Brazil,Croatia,Lovro Majer,121,38,5,260,Other,0,0,108.0,40.0,108.0,40.0
3869420_5,3869420,2022-12-09,Croatia vs Brazil,Brazil,Carlos Henrique Casimiro,122,17,5,261,Other,0,0,108.0,40.0,108.0,40.0
3869420_6,3869420,2022-12-09,Croatia vs Brazil,Croatia,Luka Modrić,123,6,5,262,Other,0,0,108.0,40.0,108.0,40.0
3869420_7,3869420,2022-12-09,Croatia vs Brazil,Brazil,Pedro Guilherme Abreu dos Santos,123,49,5,263,Other,0,0,108.0,40.0,108.0,40.0
3869420_8,3869420,2022-12-09,Croatia vs Brazil,Croatia,Mislav Oršić,124,34,5,264,Other,0,0,108.0,40.0,108.0,40.0
3869220_1,3869220,2022-12-06,Morocco vs Spain,Morocco,Abdelhamid Sabiri,120,7,5,224,Other,0,0,108.0,40.0,108.0,40.0
3869220_2,3869220,2022-12-06,Morocco vs Spain,Morocco,Hakim Ziyech,121,51,5,226,Other,0,0,108.0,40.0,108.0,40.0
3869220_3,3869220,2022-12-06,Morocco vs Spain,Morocco,Achraf Hakimi Mouh,125,36,5,230,Other,0,0,108.0,40.0,108.0,40.0
