match_id,match_label,team,opponent,possession,formation,player,period,minute,second,shot_type,shot_context,is_penalty_shootout,is_standard_shot,shot_outcome,is_goal,shot_xg,play_pattern,passes_before_shot,pass_category,duration_seconds,players_involved,start_x,start_y,start_zone,shot_x,shot_y,entry_method,passes_to_entry,time_to_entry,fast_entry_before_shot
3857271,England vs Iran,England,Iran,101,4231,Bukayo Saka,2,61,26,Open Play,Open play / other,False,False,Goal,1,0.080026746,Regular Play,2,0-3,11.0,3,57.4,16.4,Mittelfeld,105.3,46.3,Kurzer Pass,2.0,5.0,True
3857271,England vs Iran,Iran,England,106,343,Mehdi Taremi,2,64,33,Open Play,Throw-in,False,True,Goal,1,0.065701395,From Throw In,6,4-6,18.0,4,97.9,80.0,Offensives Drittel,109.7,48.0,Bereits im offensiven Drittel,0.0,0.0,True
3857271,England vs Iran,Iran,England,108,343,Mehdi Torabi,2,69,3,Open Play,Throw-in,False,True,Blocked,0,0.045791544,From Throw In,7,7-9,42.0,8,9.7,80.0,Defensives Drittel,103.5,32.3,Carry,5.0,34.0,False
3857271,England vs Iran,Iran,England,108,343,Ahmad Nourollahi,2,69,5,Open Play,Throw-in,False,True,Off T,0,0.028478073,From Throw In,7,7-9,44.0,8,9.7,80.0,Defensives Drittel,97.8,34.8,Carry,5.0,34.0,False
3857271,England vs Iran,England,Iran,109,4231,Marcus Rashford,2,70,51,Open Play,Open play / other,False,False,Goal,1,0.40810898,From Goal Kick,3,0-3,24.0,8,7.0,44.1,Defensives Drittel,109.7,47.7,Carry,2.0,19.0,False
3857271,England vs Iran,Iran,England,116,343,Mehdi Taremi,2,76,20,Open Play,Open play / other,False,False,Off T,0,0.06202265,From Counter,2,0-3,5.0,3,53.0,39.1,Mittelfeld,105.1,54.6,Langer Pass,2.0,2.0,True
3857271,England vs Iran,England,Iran,121,4231,Marcus Rashford,2,83,5,Open Play,Open play / other,False,False,Blocked,0,0.0776978,Regular Play,22,10+,75.0,10,69.1,72.6,Mittelfeld,108.6,50.7,Kurzer Pass,1.0,0.0,True
3857271,England vs Iran,England,Iran,130,4231,Jack Grealish,2,89,1,Open Play,Free kick,False,True,Goal,1,0.6262809,From Free Kick,35,10+,86.0,11,64.2,36.9,Mittelfeld,112.0,39.9,Langer Pass,34.0,79.0,False
3857271,England vs Iran,Iran,England,145,343,Sardar Azmoun,2,97,41,Open Play,Open play / other,False,False,Saved to Post,0,0.35130003,Regular Play,3,0-3,6.0,3,76.7,9.1,Mittelfeld,110.9,30.5,Kurzer Pass,3.0,3.0,True
3857271,England vs Iran,Iran,England,148,343,Mehdi Taremi,2,102,30,Penalty,Penalty,False,True,Goal,1,0.7835,Other,0,0-3,0.0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Bereits im offensiven Drittel,0.0,0.0,True
3857296,Croatia vs Belgium,Croatia,Belgium,2,433,Ivan Perišić,1,0,8,Open Play,Open play / other,False,False,Off T,0,0.03397081,From Kick Off,4,4-6,8.0,4,60.0,40.0,Mittelfeld,102.9,23.8,Langer Pass,4.0,4.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,18,4231,Yannick Ferreira Carrasco,1,9,7,Open Play,Free kick,False,True,Blocked,0,0.05519996,From Free Kick,14,10+,38.0,9,65.1,40.0,Mittelfeld,105.3,27.8,Kurzer Pass,12.0,30.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,22,4231,Yannick Ferreira Carrasco,1,10,51,Open Play,Free kick,False,True,Blocked,0,0.020840297,From Free Kick,11,10+,32.0,8,29.6,66.1,Defensives Drittel,117.0,29.2,Kurzer Pass,9.0,23.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,25,4231,Dries Mertens,1,12,56,Open Play,Open play / other,False,False,Off T,0,0.1934709,From Counter,3,0-3,9.0,3,29.9,44.9,Defensives Drittel,105.2,33.9,Carry,2.0,3.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,41,4231,Axel Witsel,1,24,50,Open Play,Open play / other,False,False,Blocked,0,0.025340356,Regular Play,18,10+,62.0,10,45.6,59.2,Mittelfeld,92.7,34.9,Langer Pass,17.0,52.0,False
3857296,Croatia vs Belgium,Croatia,Belgium,51,433,Marcelo Brozović,1,32,19,Open Play,Throw-in,False,True,Blocked,0,0.054300383,From Throw In,8,7-9,28.0,7,108.5,0.1,Offensives Drittel,99.8,36.6,Kurzer Pass,4.0,12.0,True
3857296,Croatia vs Belgium,Croatia,Belgium,51,433,Marko Livaja,1,32,28,Open Play,Throw-in,False,True,Off T,0,0.104244776,From Throw In,10,10+,37.0,9,108.5,0.1,Offensives Drittel,112.2,42.5,Kurzer Pass,4.0,12.0,True
